step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,guaman-poma-nueva,0.4841231691069792,0.527536510574946,0.9,,What is this image?,This is a drawing of the Indies in Peru.,,Learn more,the-indies-of-what-does-the.md,,,,,
2,,,,,,What does the sun mean?,,,,,,,,,
